birdname,TaxonomyId,EnglishName,ScientificName,Count
Woodchat shrike,39591,Balearic Woodchat Shrike,Lanius senator badius,27
Masked shrike,39603,Masked Shrike,Lanius nubicus,180
Spotted nutcracker,40949,Large-spotted Nutcracker,Nucifraga multipunctata,0
Jackdaw,40967,Jackdaw,Coloeus monedula,984
Jackdaw,40968,Nordic Jackdaw,Coloeus monedula monedula,56
Jackdaw,40972,Daurian Jackdaw,Coloeus dauuricus,1
Carrion crow,41002,Carrion Crow,Corvus corone,696
Hooded crow,41005,Hooded Crow,Corvus cornix,479
Goldcrest,46213,Goldcrest,Regulus regulus,1950
Goldcrest,46206,"Goldcrests, kinglets",Regulidae,0
Great tit,41704,Great Tit,Parus major,1720
Crested tit,41549,Crested Tit,Lophophanes cristatus,577
Crested tit,41557,Grey Crested Tit,Lophophanes dichrous,2
Crested tit,41576,Black-crested Titmouse,Baeolophus atricristatus,1
Crested tit,43374,Crested Tit-warbler,Leptopoecile elegans,0
Crested tit,35600,Black-crested Tit-Tyrant,Anairetes nigrocristatus,0
Crested tit,35585,Pied-crested Tit-Tyrant,Anairetes reguloides,0
Coal tit,41509,Coal Tit,Periparus ater,1728
Coal tit,41512,Continental Coal Tit,Periparus ater ater,2
Willow tit,41613,Willow Tit,Poecile montanus,587
Marsh tit,41602,Marsh Tit,Poecile palustris,1055
Bearded tit,41854,Bearded Tit,Panurus biarmicus,2182
Calandra lark,42303,Calandra Lark,Melanocorypha calandra,54
Bimaculated lark,42299,Bimaculated Lark,Melanocorypha bimaculata,10
Black lark,42312,Black Lark,Melanocorypha yeltoniensis,28
Greater short-toed lark,42287,Greater Short-toed Lark,Calandrella brachydactyla,235
Lesser short-toed lark,42336,Lesser Short-toed Lark,Alaudala rufescens,36
Crested lark,42189,Crested Lark,Galerida cristata,214
Woodlark,42112,Woodlark,Lullula arborea,255
Eurasian skylark,42151,Eurasian Skylark,Alauda arvensis,1135
White-winged lark,42163,White-winged Lark,Alauda leucoptera,2
Shore lark,42230,Shore Lark,Eremophila alpestris,1252
Sand martin,42862,Sand Martin,Riparia riparia,906
